ID,N/U,F/J,DaysLastBuy,ValueLastBuy,NumberOfPayments,FinishPaying,DaysLastService,NumberOfBuys,NumberOfServices,TotalSalesSpending,TotalServicesSpending,KM,Results
1,U,F,112.0,45300.0,0.0,112.0,,2,0,90600.0,0.0,0,0.0
2,U,F,67.0,175000.0,18.0,-473.0,115.0,9,12,2491200.0,10810.05,11810,0.0
3,U,F,115.0,29000.0,0.0,115.0,,3,0,87000.0,0.0,0,0.0
4,U,F,115.0,74500.0,0.0,115.0,,4,0,298000.0,0.0,0,0.0
5,U,F,116.0,36400.0,0.0,116.0,,3,0,109200.0,0.0,0,0.0
6,U,J,91.0,7600.0,0.0,91.0,,6,0,92100.0,0.0,0,1.0
7,N,F,99.0,172000.0,0.0,99.0,917.0,5,4,2166900.0,4908.51,9690,0.0
8,U,F,117.0,37000.0,0.0,117.0,,3,0,111000.0,0.0,0,0.0
9,U,F,117.0,49345.0,0.0,117.0,,3,0,148035.0,0.0,0,0.0
10,U,F,117.0,26800.0,0.0,117.0,,4,0,107200.0,0.0,0,0.0
11,U,F,118.0,42000.0,0.0,118.0,,4,0,168000.0,0.0,0,0.0
12,U,F,118.0,45400.0,0.0,118.0,,4,0,181600.0,0.0,0,0.0
13,U,F,118.0,37600.0,0.0,118.0,,1,0,37600.0,0.0,0,0.0
14,N,F,74.0,74500.0,0.0,74.0,,5,0,372500.0,0.0,0,0.0
15,U,F,119.0,45700.0,0.0,119.0,,5,0,228500.0,0.0,0,0.0
16,U,F,119.0,27500.0,0.0,119.0,,1,0,27500.0,0.0,0,1.0
17,U,F,119.0,33000.0,0.0,119.0,,4,0,132000.0,0.0,0,0.0
18,U,F,119.0,35000.0,0.0,119.0,,3,0,105000.0,0.0,0,0.0
19,U,F,122.0,46800.0,0.0,122.0,,4,0,187200.0,0.0,0,0.0
20,N,F,92.0,77000.0,0.0,92.0,,6,7,375900.0,741.64,29425,0.0
21,N,F,77.0,119000.0,0.0,77.0,,1,0,119000.0,0.0,0,0.0
22,U,F,122.0,37800.0,0.0,122.0,,4,0,151200.0,0.0,0,0.0
23,U,F,123.0,39500.0,0.0,123.0,,3,0,118500.0,0.0,0,0.0
24,U,F,123.0,32000.0,48.0,-1317.0,,4,0,128000.0,0.0,0,0.0
25,N,F,93.0,199460.0,0.0,93.0,880.0,26,27,5557240.0,6570.120000000001,3736,0.0
26,U,F,123.0,27800.0,0.0,123.0,,4,0,111200.0,0.0,0,0.0
27,U,F,123.0,40000.0,0.0,123.0,,1,0,40000.0,0.0,0,0.0
28,U,F,125.0,27400.0,0.0,125.0,,3,0,82200.0,0.0,0,0.0
29,U,F,125.0,19500.0,0.0,125.0,,3,0,58500.0,0.0,0,0.0
30,U,F,125.0,37000.0,0.0,125.0,,1,0,37000.0,0.0,0,0.0
31,U,F,126.0,55000.0,0.0,126.0,,1,0,55000.0,0.0,0,0.0
32,U,F,126.0,45000.0,0.0,126.0,,2,0,90000.0,0.0,0,0.0
33,U,F,129.0,46000.0,0.0,129.0,,1,0,46000.0,0.0,0,0.0
34,U,F,129.0,30860.0,0.0,129.0,,3,0,92580.0,0.0,0,0.0
35,N,F,84.0,74550.0,0.0,84.0,,2,0,149100.0,0.0,0,0.0
36,U,F,107.0,70000.0,24.0,-613.0,,5,0,350000.0,0.0,0,0.0
37,U,F,132.0,34500.0,0.0,132.0,,2,0,59000.0,0.0,0,0.0
38,U,F,132.0,61000.0,0.0,132.0,,1,0,61000.0,0.0,0,0.0
